,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
temperature (oC),-0.3187826803632291,-0.28290884542353534,-0.2668178126608916,0.35220230442310707,-0.08376505070634753,-0.12845788612489803,0.016044204951439732,-0.09220291046284099,-0.276082232136112,0.7561053558791334,1.0,0.12032867939558158,-0.10131258362284304,-0.09603942772264266,-0.08722008222016013,-0.10407435464040274,0.17579732784805804,0.0770548762305769,0.041483620122634575,-0.030989705475775314
windspeed (m/s),0.02137879223906581,0.019830607640949457,0.029756172405116216,0.02187490522666297,-0.019162701692900682,0.012028002801890378,-0.015023009786873149,-0.05622690274259807,-0.02241316174882261,0.04888978703245575,0.12032867939558158,1.0,0.010903016365431934,-0.20302465686708102,-0.013124619345177556,0.0280000678899754,0.037738943909930024,0.017204762996405918,0.03316277796957706,0.026345372494702958
winddirection_E,0.025570942353915337,0.013933903446002966,-0.004540511212065963,-0.09388608633958674,-0.04880016702537529,-0.028459954368780134,-0.001428154363357176,0.0432526802466051,0.06492450913718534,-0.00550885897472027,-0.10131258362284304,0.010903016365431934,1.0,-0.08871995128392546,-0.09673897886325172,-0.11195214042754316,-0.17774912784638025,-0.17875024634960238,-0.12735102675543755,-0.11468996225188934
winddirection_N,0.015580704763442905,0.027073448682530577,0.022095281223327608,-0.02632990605608595,0.001982772462762918,-0.03503246590617008,0.03374399725610132,0.024458581177827357,0.0018257684888076627,-0.04950681338928105,-0.09603942772264266,-0.20302465686708102,-0.08871995128392546,1.0,-0.07464088346973184,-0.08637890089420193,-0.13714587536822492,-0.13791830826358503,-0.09826021795453346,-0.08849132178341741
winddirection_NE,0.012833469119573086,0.015885806478874404,-0.0019241497250702291,-0.06946921095643943,-0.03730481276648112,-0.04562337894164381,0.016166941668155403,0.015338934897434606,0.03544557813420725,-0.025043903571286816,-0.08722008222016013,-0.013124619345177556,-0.09673897886325172,-0.07464088346973184,1.0,-0.09418633066080373,-0.14954192091438512,-0.15038417080808864,-0.10714155057840591,-0.09648968449263859
winddirection_NW,0.01686011104872916,0.03229899602024738,0.06450521979009038,0.06937509094186521,0.055819249046528074,0.03302612070365705,0.039349114000019295,-0.02859328877943361,-0.02641114060193617,-0.13616862756040263,-0.10407435464040274,0.0280000678899754,-0.11195214042754316,-0.08637890089420193,-0.09418633066080373,1.0,-0.17305886754988592,-0.17403356957264704,-0.12399061946821052,-0.1116636420505969
winddirection_S,-0.053903313838811126,-0.06251795354572827,-0.07030623630503864,0.06549667174486175,-0.016326775450483045,0.021711796200244275,-0.06806199147902034,-0.016028678934793653,0.03532884633556655,0.1643124165502411,0.17579732784805804,0.037738943909930024,-0.17774912784638025,-0.13714587536822492,-0.14954192091438512,-0.17305886754988592,1.0,-0.2763173181807261,-0.19686291291472677,-0.17729107197817817
winddirection_SE,0.039220672984042707,0.017252424922242077,0.006535785768076241,-0.01767544812477619,0.004389811076925266,0.038684676149319246,-0.022725701211161346,0.015388689113301735,-0.05042813543529035,-0.004143745587038404,0.0770548762305769,0.017204762996405918,-0.17875024634960238,-0.13791830826358503,-0.15038417080808864,-0.17403356957264704,-0.2763173181807261,1.0,-0.19797168406377244,-0.1782896106194855
winddirection_SW,-0.030652306584152408,-0.019356216084619498,-0.015509583108121134,0.011809919511907426,0.019243442200641437,-0.0035711354624606956,0.009866059352978058,-0.021445955563269545,-0.01558884450846773,0.03721391994130641,0.041483620122634575,0.03316277796957706,-0.12735102675543755,-0.09826021795453346,-0.10714155057840591,-0.12399061946821052,-0.19686291291472677,-0.19797168406377244,1.0,-0.12702284576331563
winddirection_W,-0.012922864491470482,0.000948400996503813,0.0283138253944348,0.030137089264934518,0.020260059044431032,-0.014076304760090867,0.033958165265905296,-0.024303850745417514,-0.03385438801465514,-0.05654540217685985,-0.030989705475775314,0.026345372494702958,-0.11468996225188934,-0.08849132178341741,-0.09648968449263859,-0.1116636420505969,-0.17729107197817817,-0.1782896106194855,-0.12702284576331563,1.0
