TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-04-07 02:00:00,45.7,57.86,2,0 days 02:00:00.000000000
2019-04-07 03:00:00,45.79,57.29,3,0 days 03:00:00.000000000
2019-04-07 04:00:00,31.7,37.49,4,0 days 04:00:00.000000000
2019-04-07 05:00:00,74.17,87.45,5,0 days 05:00:00.000000000
2019-04-07 06:00:00,67.05,78.96,6,0 days 06:00:00.000000000
2019-04-07 07:00:00,81.8,93.78,7,0 days 07:00:00.000000000
2019-04-07 08:00:00,80.37,92.06,8,0 days 08:00:00.000000000
2019-04-07 09:00:00,53.43,65.22,9,0 days 09:00:00.000000000
2019-04-07 10:00:00,60.87,70.75,10,0 days 10:00:00.000000000
2019-04-07 11:00:00,39.31,47.56,11,0 days 11:00:00.000000000
2019-04-07 12:00:00,59.28,67.85,12,0 days 12:00:00.000000000
2019-04-07 13:00:00,62.82,72.05,13,0 days 13:00:00.000000000
2019-04-07 14:00:00,44.08,52.36,14,0 days 14:00:00.000000000
2019-04-07 15:00:00,27.96,32.03,15,0 days 15:00:00.000000000
2019-04-07 16:00:00,30.86,35.7,16,0 days 16:00:00.000000000
2019-04-07 17:00:00,49.73,58.73,17,0 days 17:00:00.000000000
2019-04-07 18:00:00,56.96,68.43,18,0 days 18:00:00.000000000
2019-04-07 19:00:00,63.64,76.7,19,0 days 19:00:00.000000000
2019-04-07 20:00:00,73.75,84.44,20,0 days 20:00:00.000000000
2019-04-07 21:00:00,56.93,69.0,21,0 days 21:00:00.000000000
2019-04-07 22:00:00,46.29,57.14,22,0 days 22:00:00.000000000
2019-04-07 23:00:00,42.71,52.86,23,0 days 23:00:00.000000000
2019-04-08 00:00:00,41.92,51.93,0,0 days 00:00:00.000000000
2019-04-08 01:00:00,39.64,48.84,1,0 days 01:00:00.000000000
2019-04-08 02:00:00,38.24,46.95,2,0 days 02:00:00.000000000
2019-04-08 03:00:00,41.0,50.97,3,0 days 03:00:00.000000000
2019-04-08 04:00:00,46.82,58.02,4,0 days 04:00:00.000000000
2019-04-08 05:00:00,77.03,89.74,5,0 days 05:00:00.000000000
2019-04-08 06:00:00,84.94,96.2,6,0 days 06:00:00.000000000
2019-04-08 07:00:00,92.74,103.27,7,0 days 07:00:00.000000000
2019-04-08 08:00:00,113.86,126.2,8,0 days 08:00:00.000000000
2019-04-08 09:00:00,103.25,116.25,9,0 days 09:00:00.000000000
2019-04-08 10:00:00,68.25,80.05,10,0 days 10:00:00.000000000
2019-04-08 11:00:00,54.26,64.99,11,0 days 11:00:00.000000000
2019-04-08 12:00:00,35.26,41.99,12,0 days 12:00:00.000000000
2019-04-08 13:00:00,31.48,37.04,13,0 days 13:00:00.000000000
2019-04-08 14:00:00,31.05,35.56,14,0 days 14:00:00.000000000
2019-04-08 15:00:00,27.85,32.6,15,0 days 15:00:00.000000000
2019-04-08 16:00:00,33.92,40.17,16,0 days 16:00:00.000000000
2019-04-08 17:00:00,38.65,48.0,17,0 days 17:00:00.000000000
2019-04-08 18:00:00,57.89,69.85,18,0 days 18:00:00.000000000
2019-04-08 19:00:00,62.37,75.79,19,0 days 19:00:00.000000000
2019-04-08 20:00:00,70.83,83.8,20,0 days 20:00:00.000000000
2019-04-08 21:00:00,55.95,69.27,21,0 days 21:00:00.000000000
2019-04-08 22:00:00,51.19,62.68,22,0 days 22:00:00.000000000
2019-04-08 23:00:00,39.84,49.84,23,0 days 23:00:00.000000000
2019-04-09 00:00:00,47.18,60.43,0,0 days 00:00:00.000000000
2019-04-09 01:00:00,40.16,49.74,1,0 days 01:00:00.000000000
2019-04-09 02:00:00,41.49,50.83,2,0 days 02:00:00.000000000
2019-04-09 03:00:00,41.75,50.84,3,0 days 03:00:00.000000000
2019-04-09 04:00:00,43.02,53.05,4,0 days 04:00:00.000000000
2019-04-09 05:00:00,52.0,62.29,5,0 days 05:00:00.000000000
2019-04-09 06:00:00,41.89,49.37,6,0 days 06:00:00.000000000
2019-04-09 07:00:00,36.32,43.33,7,0 days 07:00:00.000000000
2019-04-09 08:00:00,63.99,72.36,8,0 days 08:00:00.000000000
2019-04-09 09:00:00,39.92,46.77,9,0 days 09:00:00.000000000
2019-04-09 10:00:00,50.1,59.88,10,0 days 10:00:00.000000000
2019-04-09 11:00:00,80.48,89.24,11,0 days 11:00:00.000000000
2019-04-09 12:00:00,54.7,63.99,12,0 days 12:00:00.000000000
2019-04-09 13:00:00,47.0,55.41,13,0 days 13:00:00.000000000
2019-04-09 14:00:00,36.92,43.92,14,0 days 14:00:00.000000000
2019-04-09 15:00:00,32.39,37.99,15,0 days 15:00:00.000000000
2019-04-09 16:00:00,35.48,41.94,16,0 days 16:00:00.000000000
2019-04-09 17:00:00,38.03,46.09,17,0 days 17:00:00.000000000
2019-04-09 18:00:00,50.31,62.38,18,0 days 18:00:00.000000000
2019-04-09 19:00:00,70.25,80.46,19,0 days 19:00:00.000000000
2019-04-09 20:00:00,94.42,103.99,20,0 days 20:00:00.000000000
2019-04-09 21:00:00,109.26,121.25,21,0 days 21:00:00.000000000
2019-04-09 22:00:00,69.66,80.33,22,0 days 22:00:00.000000000
2019-04-09 23:00:00,45.04,55.95,23,0 days 23:00:00.000000000
2019-04-10 00:00:00,38.18,46.62,0,0 days 00:00:00.000000000
2019-04-10 01:00:00,45.68,57.01,1,0 days 01:00:00.000000000
2019-04-10 02:00:00,50.39,62.67,2,0 days 02:00:00.000000000
2019-04-10 03:00:00,48.99,61.39,3,0 days 03:00:00.000000000
2019-04-10 04:00:00,51.02,63.6,4,0 days 04:00:00.000000000
2019-04-10 05:00:00,89.64,100.11,5,0 days 05:00:00.000000000
2019-04-10 06:00:00,68.83,79.09,6,0 days 06:00:00.000000000
2019-04-10 07:00:00,90.05,99.84,7,0 days 07:00:00.000000000
2019-04-10 08:00:00,80.26,89.39,8,0 days 08:00:00.000000000
2019-04-10 09:00:00,63.78,75.37,9,0 days 09:00:00.000000000
2019-04-10 10:00:00,83.37,94.92,10,0 days 10:00:00.000000000
2019-04-10 11:00:00,39.17,47.89,11,0 days 11:00:00.000000000
2019-04-10 12:00:00,34.86,41.17,12,0 days 12:00:00.000000000
2019-04-10 13:00:00,30.87,36.26,13,0 days 13:00:00.000000000
2019-04-10 14:00:00,28.84,33.55,14,0 days 14:00:00.000000000
2019-04-10 15:00:00,29.76,34.76,15,0 days 15:00:00.000000000
2019-04-10 16:00:00,32.88,38.53,16,0 days 16:00:00.000000000
2019-04-10 17:00:00,41.71,50.42,17,0 days 17:00:00.000000000
2019-04-10 18:00:00,61.15,72.29,18,0 days 18:00:00.000000000
2019-04-10 19:00:00,69.07,79.84,19,0 days 19:00:00.000000000
2019-04-10 20:00:00,59.22,70.86,20,0 days 20:00:00.000000000
2019-04-10 21:00:00,72.38,86.03,21,0 days 21:00:00.000000000
2019-04-10 22:00:00,52.79,65.22,22,0 days 22:00:00.000000000
2019-04-10 23:00:00,68.24,80.15,23,0 days 23:00:00.000000000
2019-04-11 00:00:00,72.61,84.85,0,0 days 00:00:00.000000000
2019-04-11 01:00:00,73.28,84.64,1,0 days 01:00:00.000000000
2019-04-11 02:00:00,67.9,79.83,2,0 days 02:00:00.000000000
2019-04-11 03:00:00,59.57,72.46,3,0 days 03:00:00.000000000
2019-04-11 04:00:00,55.5,67.71,4,0 days 04:00:00.000000000
2019-04-11 05:00:00,75.8,86.97,5,0 days 05:00:00.000000000
2019-04-11 06:00:00,117.23,127.95,6,0 days 06:00:00.000000000
2019-04-11 07:00:00,101.08,112.69,7,0 days 07:00:00.000000000
