TimeStamp,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,EVI,NDVI,MOD13A3_006__1_km_monthly_VI_Quality,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2018-01-22,6.46,10.1,34.89,1159.0,309.0,0.1697,0.3407,2181.0,66.46,0.06,87.473,4437.5,24.16,0.77,0.32,1.36,0,0,0,0,1,0,0,0
2018-01-23,8.15,11.86,37.17,1159.0,309.0,0.1697,0.3407,2181.0,71.71,0.0,87.448,3471.57,23.03,0.81,0.31,1.67,0,0,0,0,1,0,0,0
2018-01-24,8.23,11.37,24.92,1159.0,309.0,0.1697,0.3407,2181.0,88.63,4.96,87.544,1640.06,19.65,0.54,0.24,1.05,0,0,0,0,0,0,0,1
2018-01-25,9.82,13.59,34.25,1159.0,309.0,0.1697,0.3407,2181.0,84.79,0.02,87.616,1552.61,19.29,0.51,0.19,0.99,0,0,0,0,0,0,0,1
2018-01-26,9.53,13.2,28.43,1159.0,309.0,0.1697,0.3407,2181.0,83.42,0.73,87.59899999999999,2012.86,20.85,0.56,0.24,0.74,0,0,0,0,0,0,1,0
2018-01-27,12.79,18.72,44.13,1159.0,309.0,0.1697,0.3407,2181.0,75.0,0.16,87.541,3883.04,23.01,0.67,0.38,1.17,0,0,0,0,0,1,0,0
2018-01-28,8.83,12.92,33.23,1159.0,309.0,0.1697,0.3407,2181.0,79.96,0.06,87.507,3750.27,22.57,0.66,0.29,1.69,0,0,0,0,0,0,1,0
2018-01-29,9.29,13.53,39.67,1159.0,309.0,0.1697,0.3407,2181.0,78.29,0.25,87.525,3357.97,23.14,0.63,0.35,1.15,0,0,0,0,0,0,1,0
2018-01-30,10.68,16.36,45.75,1159.0,309.0,0.1697,0.3407,2181.0,66.38,0.12,87.53399999999999,4469.12,24.16,0.68,0.27,1.19,1,0,0,0,0,0,0,0
2018-01-31,8.06,12.88,37.64,1159.0,309.0,0.1697,0.3407,2181.0,63.58,0.08,87.52799999999999,4984.53,24.22,1.08,0.39,2.52,0,0,0,0,0,0,1,0
