site,name,dateTimeUTC,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),winddirection,windspeed (m/s)
TA00216,Makerere Synoptic,2018-09-20 16:00:00,77,0,87.52,0,22.74,SE,0.57
TA00216,Makerere Synoptic,2018-09-20 17:00:00,84,0,87.58,0,21.53,NW,0.36
TA00216,Makerere Synoptic,2018-09-20 18:00:00,87,0,87.62,0,21.23,N,0.29
TA00216,Makerere Synoptic,2018-09-20 19:00:00,87,0,87.67,0,21.06,E,0.38
TA00216,Makerere Synoptic,2018-09-20 20:00:00,91,0,87.69,0,20.3,E,0.5
TA00216,Makerere Synoptic,2018-09-20 21:00:00,94,0,87.64,0,19.49,E,0.5
TA00216,Makerere Synoptic,2018-09-20 22:00:00,95,0,87.59,0,19.23,SE,0.62
TA00216,Makerere Synoptic,2018-09-20 23:00:00,94,0,87.52,0,18.72,SE,0.45
TA00216,Makerere Synoptic,2018-09-21 00:00:00,95,0,87.49,0,17.78,SE,0.48
TA00216,Makerere Synoptic,2018-09-21 01:00:00,91,0,87.53,0,18.87,E,1.19
TA00216,Makerere Synoptic,2018-09-21 02:00:00,90,0,87.56,0,18.66,E,0.86
TA00216,Makerere Synoptic,2018-09-21 03:00:00,91,0,87.58,1.87,18.16,NE,0.52
TA00216,Makerere Synoptic,2018-09-21 04:00:00,91,0.02,87.66,44.7,18.4,NW,0.39
TA00216,Makerere Synoptic,2018-09-21 05:00:00,84,0,87.77,233.53,20.74,SW,0.48
TA00216,Makerere Synoptic,2018-09-21 06:00:00,66,0,87.8,457.67,24.69,S,0.81
TA00216,Makerere Synoptic,2018-09-21 07:00:00,62,0,87.86,501.93,26.26,SW,0.99
TA00216,Makerere Synoptic,2018-09-21 08:00:00,66,0,87.83,504.38,25.85,S,1.09
TA00216,Makerere Synoptic,2018-09-21 09:00:00,66,0,87.75,396.77,26.42,S,1.17
TA00216,Makerere Synoptic,2018-09-21 10:00:00,63,0,87.69,692.53,26.71,S,1.45
TA00216,Makerere Synoptic,2018-09-21 11:00:00,53,0,87.57,765.7,28.1,S,1.65
TA00216,Makerere Synoptic,2018-09-21 12:00:00,44,0,87.49,636.61,28.84,S,1.6
TA00216,Makerere Synoptic,2018-09-21 13:00:00,44,0,87.44,443.12,28.81,SE,1.75
TA00216,Makerere Synoptic,2018-09-21 14:00:00,51,0,87.41,172.9,27.95,SE,1.31
TA00216,Makerere Synoptic,2018-09-21 15:00:00,61,0,87.45,25.32,25.22,SE,1.02
TA00216,Makerere Synoptic,2018-09-21 16:00:00,75,0,87.52,0,23.01,SE,0.56
TA00216,Makerere Synoptic,2018-09-21 17:00:00,82,0,87.59,0,21.45,S,0.18
TA00216,Makerere Synoptic,2018-09-21 18:00:00,86,0,87.58,0,20.61,NE,0.2
TA00216,Makerere Synoptic,2018-09-21 19:00:00,90,0,87.64,0,19.79,N,0.23
TA00216,Makerere Synoptic,2018-09-21 20:00:00,92,0,87.65,0,19.42,E,0.36
TA00216,Makerere Synoptic,2018-09-21 21:00:00,93,0,87.64,0,19.07,SE,0.38
TA00216,Makerere Synoptic,2018-09-21 22:00:00,93,0,87.58,0,19.26,E,0.47
TA00216,Makerere Synoptic,2018-09-21 23:00:00,93,0,87.5,0,18.99,SE,0.76
TA00216,Makerere Synoptic,2018-09-22 00:00:00,92,0.02,87.49,0,18.54,SE,0.47
TA00216,Makerere Synoptic,2018-09-22 01:00:00,92,0.02,87.53,0,18.62,SE,0.84
TA00216,Makerere Synoptic,2018-09-22 02:00:00,91,0.02,87.56,0,18.78,SE,0.52
TA00216,Makerere Synoptic,2018-09-22 03:00:00,85,0,87.63,0.5,19.55,SE,0.39
TA00216,Makerere Synoptic,2018-09-22 04:00:00,84,0,87.73,12.87,19.87,E,0.46
TA00216,Makerere Synoptic,2018-09-22 05:00:00,82,0,87.79,96.93,20.48,E,0.4
TA00216,Makerere Synoptic,2018-09-22 06:00:00,74,0,87.8,346.95,22.94,E,0.85
TA00216,Makerere Synoptic,2018-09-22 07:00:00,62,0,87.8,537.45,26.41,E,1.09
TA00216,Makerere Synoptic,2018-09-22 08:00:00,53,0,87.74,635.75,28.74,SE,1.33
TA00216,Makerere Synoptic,2018-09-22 09:00:00,50,0,87.67,724.25,28.97,SE,1.52
TA00216,Makerere Synoptic,2018-09-22 10:00:00,46,0,87.61,422.96,29.58,SE,1.38
TA00216,Makerere Synoptic,2018-09-22 11:00:00,51,0,87.51,487.98,29.03,S,1.6
TA00216,Makerere Synoptic,2018-09-22 12:00:00,54,0,87.42,560.64,28.71,S,1.78
TA00216,Makerere Synoptic,2018-09-22 13:00:00,55,0,87.36,353.08,29,S,1.57
TA00216,Makerere Synoptic,2018-09-22 14:00:00,59,0,87.38,243.23,27.83,S,1.53
TA00216,Makerere Synoptic,2018-09-22 15:00:00,59,0,87.44,35.85,26.61,SE,1.11
TA00216,Makerere Synoptic,2018-09-22 16:00:00,74,0,87.5,0,24.17,SE,0.78
TA00216,Makerere Synoptic,2018-09-22 17:00:00,82,0,87.57,0,22.98,S,0.38
TA00216,Makerere Synoptic,2018-09-22 18:00:00,86,0,87.63,0,22.17,NW,0.28
TA00216,Makerere Synoptic,2018-09-22 19:00:00,89,0,87.64,0,21.25,NE,0.24
TA00216,Makerere Synoptic,2018-09-22 20:00:00,92,0,87.63,0,20.59,W,0.23
TA00216,Makerere Synoptic,2018-09-22 21:00:00,93,0,87.61,0,20.38,SE,0.89
TA00216,Makerere Synoptic,2018-09-22 22:00:00,91,0,87.58,0,20.08,E,0.87
TA00216,Makerere Synoptic,2018-09-22 23:00:00,92,0,87.55,0,19.8,E,0.78
TA00216,Makerere Synoptic,2018-09-23 00:00:00,93,0.02,87.56,0,19.34,E,0.62
TA00216,Makerere Synoptic,2018-09-23 01:00:00,92,0,87.59,0,19.26,E,0.76
TA00216,Makerere Synoptic,2018-09-23 02:00:00,91,2.88,87.63,0,19.44,E,1.04
TA00216,Makerere Synoptic,2018-09-23 03:00:00,96,0.43,87.66,0.23,18.82,SE,1.01
TA00216,Makerere Synoptic,2018-09-23 04:00:00,97,0.32,87.72,28,18.58,SE,1.03
TA00216,Makerere Synoptic,2018-09-23 05:00:00,96,0,87.81,95.42,19.43,SE,1.11
TA00216,Makerere Synoptic,2018-09-23 06:00:00,91,0,87.89,146.25,20.46,S,0.78
TA00216,Makerere Synoptic,2018-09-23 07:00:00,86,0,87.89,126.02,21.11,NW,0.39
TA00216,Makerere Synoptic,2018-09-23 08:00:00,82,0,87.88,130.73,21.64,NE,0.3
TA00216,Makerere Synoptic,2018-09-23 09:00:00,79,0,87.8,166.58,22.32,E,0.39
TA00216,Makerere Synoptic,2018-09-23 10:00:00,77,0,87.71,383.03,23.52,E,0.75
TA00216,Makerere Synoptic,2018-09-23 11:00:00,71,0,87.61,420.05,25.33,E,0.81
TA00216,Makerere Synoptic,2018-09-23 12:00:00,69,0,87.53,241.33,24.95,SE,0.61
TA00216,Makerere Synoptic,2018-09-23 13:00:00,63,0,87.5,332.67,26.36,S,0.64
TA00216,Makerere Synoptic,2018-09-23 14:00:00,60,0,87.5,129.82,26.94,SE,0.62
TA00216,Makerere Synoptic,2018-09-23 15:00:00,71,0,87.5,11.13,23.73,SE,0.37
TA00216,Makerere Synoptic,2018-09-23 16:00:00,81,0,87.54,0,21.99,S,0.28
TA00216,Makerere Synoptic,2018-09-23 17:00:00,83,0,87.61,0,21.21,N,0.29
TA00216,Makerere Synoptic,2018-09-23 18:00:00,85,0,87.66,0,20.71,NE,0.34
TA00216,Makerere Synoptic,2018-09-23 19:00:00,88,0,87.68,0,20.29,NE,0.32
TA00216,Makerere Synoptic,2018-09-23 20:00:00,90,0,87.68,0,20.04,NE,0.26
TA00216,Makerere Synoptic,2018-09-23 21:00:00,91,0,87.63,0,19.85,E,0.31
TA00216,Makerere Synoptic,2018-09-23 22:00:00,92,0,87.53,0,19.72,SW,0.28
TA00216,Makerere Synoptic,2018-09-23 23:00:00,94,0,87.48,0,19.15,SE,0.3
TA00216,Makerere Synoptic,2018-09-24 00:00:00,95,0,87.48,0,19.21,SE,0.55
TA00216,Makerere Synoptic,2018-09-24 01:00:00,95,0,87.51,0,18.96,SE,0.41
TA00216,Makerere Synoptic,2018-09-24 02:00:00,96,0,87.51,0,18.57,SE,0.61
TA00216,Makerere Synoptic,2018-09-24 03:00:00,97,0.02,87.56,1.73,18.1,SE,0.48
TA00216,Makerere Synoptic,2018-09-24 04:00:00,97,0.02,87.63,67.47,19.05,SE,0.68
TA00216,Makerere Synoptic,2018-09-24 05:00:00,90,0.02,87.71,247.13,23.49,SE,0.7
TA00216,Makerere Synoptic,2018-09-24 06:00:00,74,0,87.79,488.91,26.52,S,0.83
TA00216,Makerere Synoptic,2018-09-24 07:00:00,62,0,87.79,637.13,28.22,S,0.97
TA00216,Makerere Synoptic,2018-09-24 08:00:00,59,0,87.78,480.68,28.09,SE,0.82
TA00216,Makerere Synoptic,2018-09-24 09:00:00,60,0,87.7,403.49,28.2,SE,0.84
TA00216,Makerere Synoptic,2018-09-24 10:00:00,60,0,87.6,806.72,28.84,S,1.17
TA00216,Makerere Synoptic,2018-09-24 11:00:00,58,0,87.52,679.6,29.18,S,1.23
TA00216,Makerere Synoptic,2018-09-24 12:00:00,60,0,87.45,612.27,28.66,S,1.43
TA00216,Makerere Synoptic,2018-09-24 13:00:00,63,0,87.47,269.3,27.21,S,1.16
TA00216,Makerere Synoptic,2018-09-24 14:00:00,72,0.2,87.45,45.87,23.92,S,0.64
TA00216,Makerere Synoptic,2018-09-24 15:00:00,71,0,87.47,15.72,23.5,SW,0.73
TA00216,Makerere Synoptic,2018-09-24 16:00:00,73,0,87.53,0,22.73,S,0.55
TA00216,Makerere Synoptic,2018-09-24 17:00:00,78,0,87.57,0,21.97,SE,0.44
TA00216,Makerere Synoptic,2018-09-24 18:00:00,79,0,87.62,0,21.36,NE,0.35
TA00216,Makerere Synoptic,2018-09-24 19:00:00,80,0,87.66,0,20.84,SE,0.6
TA00216,Makerere Synoptic,2018-09-24 20:00:00,80,0,87.66,0,20.78,E,1.02
TA00216,Makerere Synoptic,2018-09-24 21:00:00,82,0,87.62,0,20.41,E,0.97
TA00216,Makerere Synoptic,2018-09-24 22:00:00,84,0,87.59,0,19.81,E,0.46
TA00216,Makerere Synoptic,2018-09-24 23:00:00,84,0,87.57,0,19.85,SW,0.25
TA00216,Makerere Synoptic,2018-09-25 00:00:00,80,0,87.53,0,20.23,W,0.27
TA00216,Makerere Synoptic,2018-09-25 01:00:00,84,0,87.6,0,20.06,NE,0.81
TA00216,Makerere Synoptic,2018-09-25 02:00:00,86,0,87.67,0,19.6,E,0.42
TA00216,Makerere Synoptic,2018-09-25 03:00:00,85,0,87.7,1.08,19.89,E,0.55
TA00216,Makerere Synoptic,2018-09-25 04:00:00,78,0,87.73,29.12,20.92,SE,0.61
TA00216,Makerere Synoptic,2018-09-25 05:00:00,75,0,87.8,271.08,22.25,E,0.76
TA00216,Makerere Synoptic,2018-09-25 06:00:00,64,0,87.88,310.03,24.63,NE,0.56
TA00216,Makerere Synoptic,2018-09-25 07:00:00,58,0,87.92,525.9,27.22,E,0.81
TA00216,Makerere Synoptic,2018-09-25 08:00:00,60,0,87.88,518.47,27.32,SE,1.26
TA00216,Makerere Synoptic,2018-09-25 09:00:00,57,0,87.8,700.53,28.06,SE,1.2
TA00216,Makerere Synoptic,2018-09-25 10:00:00,50,0,87.69,785.4,29.13,SE,1.19
TA00216,Makerere Synoptic,2018-09-25 11:00:00,47,0,87.6,688.7,30.13,S,1.3
TA00216,Makerere Synoptic,2018-09-25 12:00:00,43,0,87.51,584.97,30.74,SE,0.99
TA00216,Makerere Synoptic,2018-09-25 13:00:00,42,0,87.48,418.02,30.95,S,1.34
TA00216,Makerere Synoptic,2018-09-25 14:00:00,45,0,87.51,167.09,29.82,SE,1.19
TA00216,Makerere Synoptic,2018-09-25 15:00:00,56,0,87.54,24.95,27.11,SE,0.86
TA00216,Makerere Synoptic,2018-09-25 16:00:00,68,0,87.59,0,24.25,SE,0.59
TA00216,Makerere Synoptic,2018-09-25 17:00:00,74,0,87.66,0,22.92,NE,0.35
TA00216,Makerere Synoptic,2018-09-25 18:00:00,73,0,87.67,0,22.44,SE,0.51
TA00216,Makerere Synoptic,2018-09-25 19:00:00,72,0,87.67,0,22.29,E,0.47
TA00216,Makerere Synoptic,2018-09-25 20:00:00,76,0,87.7,0,21.97,SE,0.5
TA00216,Makerere Synoptic,2018-09-25 21:00:00,75,0,87.68,0,21.64,S,0.45
TA00216,Makerere Synoptic,2018-09-25 22:00:00,77,0,87.63,0,21.23,NE,0.38
TA00216,Makerere Synoptic,2018-09-25 23:00:00,79,0,87.57,0,20.85,E,0.54
TA00216,Makerere Synoptic,2018-09-26 00:00:00,82,0,87.6,0,20.35,NE,0.74
TA00216,Makerere Synoptic,2018-09-26 01:00:00,85,0,87.66,0,19.35,S,0.48
TA00216,Makerere Synoptic,2018-09-26 02:00:00,86,0,87.69,0,19.35,E,0.56
TA00216,Makerere Synoptic,2018-09-26 03:00:00,87,0,87.73,0.88,19.26,E,0.48
TA00216,Makerere Synoptic,2018-09-26 04:00:00,89,0,87.81,62.12,19.16,NE,0.38
TA00216,Makerere Synoptic,2018-09-26 05:00:00,84,0,87.89,119.57,21.16,SE,0.63
TA00216,Makerere Synoptic,2018-09-26 06:00:00,79,0,87.98,315.55,22.86,S,0.83
TA00216,Makerere Synoptic,2018-09-26 07:00:00,73,0,87.96,435.38,24.21,S,0.85
TA00216,Makerere Synoptic,2018-09-26 08:00:00,64,0,87.9,564.2,25.97,SE,0.92
TA00216,Makerere Synoptic,2018-09-26 09:00:00,50,0,87.79,845.32,29.21,E,1.36
TA00216,Makerere Synoptic,2018-09-26 10:00:00,46,0,87.7,856.39,30.16,SE,1.19
TA00216,Makerere Synoptic,2018-09-26 11:00:00,45,0,87.59,416.05,29.66,SE,0.98
TA00216,Makerere Synoptic,2018-09-26 12:00:00,42,0,87.49,621.47,30.87,S,1.24
TA00216,Makerere Synoptic,2018-09-26 13:00:00,38,0,87.46,434.05,31.31,S,1.33
TA00216,Makerere Synoptic,2018-09-26 14:00:00,44,0,87.48,182.83,29.39,SE,1.31
TA00216,Makerere Synoptic,2018-09-26 15:00:00,52,0,87.51,17.57,26.6,SE,0.94
TA00216,Makerere Synoptic,2018-09-26 16:00:00,63,0,87.52,0,24.2,SE,0.69
TA00216,Makerere Synoptic,2018-09-26 17:00:00,71,0,87.55,0,22.82,SE,0.34
TA00216,Makerere Synoptic,2018-09-26 18:00:00,79,0,87.57,0,21.74,NE,0.2
TA00216,Makerere Synoptic,2018-09-26 19:00:00,84,0,87.64,0,21.41,NE,0.38
TA00216,Makerere Synoptic,2018-09-26 20:00:00,85,0,87.64,0,21.3,NE,0.49
TA00216,Makerere Synoptic,2018-09-26 21:00:00,83,0,87.6,0,21,N,0.51
TA00216,Makerere Synoptic,2018-09-26 22:00:00,82,0,87.53,0,20.76,N,0.63
TA00216,Makerere Synoptic,2018-09-26 23:00:00,86,0,87.49,0,20.04,SE,0.34
TA00216,Makerere Synoptic,2018-09-27 00:00:00,88,0,87.51,0,20.13,SE,0.4
TA00216,Makerere Synoptic,2018-09-27 01:00:00,89,0,87.5,0,20.31,SE,0.17
TA00216,Makerere Synoptic,2018-09-27 02:00:00,88,0,87.53,0,20.37,N,0.27
TA00216,Makerere Synoptic,2018-09-27 03:00:00,91,0,87.6,2.68,19.86,S,0.25
TA00216,Makerere Synoptic,2018-09-27 04:00:00,92,0,87.69,72.63,20.18,E,0.54
TA00216,Makerere Synoptic,2018-09-27 05:00:00,85,0,87.76,275.22,23.96,S,0.47
TA00216,Makerere Synoptic,2018-09-27 06:00:00,69,0,87.82,390.17,26.72,S,0.78
TA00216,Makerere Synoptic,2018-09-27 07:00:00,60,0,87.81,653.43,28.74,S,1.21
TA00216,Makerere Synoptic,2018-09-27 08:00:00,59,0,87.74,637.52,29.1,S,1.25
TA00216,Makerere Synoptic,2018-09-27 09:00:00,61,0,87.68,217,27.53,S,1.16
TA00216,Makerere Synoptic,2018-09-27 10:00:00,62,0,87.61,182.4,26.46,SE,0.71
TA00216,Makerere Synoptic,2018-09-27 11:00:00,64,0,87.54,167.92,26.02,SE,0.62
TA00216,Makerere Synoptic,2018-09-27 12:00:00,70,0,87.5,218.72,25.75,E,0.6
TA00216,Makerere Synoptic,2018-09-27 13:00:00,64,0,87.44,246.37,26.72,SE,0.74
TA00216,Makerere Synoptic,2018-09-27 14:00:00,58,0,87.4,166.97,28.01,SE,0.64
TA00216,Makerere Synoptic,2018-09-27 15:00:00,60,0,87.42,23.73,26.67,SE,0.41
TA00216,Makerere Synoptic,2018-09-27 16:00:00,71,0,87.46,0,23.61,E,0.18
TA00216,Makerere Synoptic,2018-09-27 17:00:00,76,0,87.46,0,22.6,SE,0.3
TA00216,Makerere Synoptic,2018-09-27 18:00:00,81,0,87.49,0,22.06,E,0.3
TA00216,Makerere Synoptic,2018-09-27 19:00:00,78,0,87.51,0,21.33,NE,0.27
TA00216,Makerere Synoptic,2018-09-27 20:00:00,74,0,87.54,0,21.03,NE,0.25
TA00216,Makerere Synoptic,2018-09-27 21:00:00,73,0,87.52,0,20.9,E,0.24
TA00216,Makerere Synoptic,2018-09-27 22:00:00,75,0,87.47,0,21.35,S,0.25
TA00216,Makerere Synoptic,2018-09-27 23:00:00,78,0,87.43,0,21.4,E,0.22
TA00216,Makerere Synoptic,2018-09-28 00:00:00,80,0,87.39,0,21.19,NE,0.24
TA00216,Makerere Synoptic,2018-09-28 01:00:00,83,0,87.44,0,20.4,N,0.22
TA00216,Makerere Synoptic,2018-09-28 02:00:00,83,0,87.48,0,20.38,SE,0.26
TA00216,Makerere Synoptic,2018-09-28 03:00:00,82,0,87.55,2.28,20.58,E,0.26
TA00216,Makerere Synoptic,2018-09-28 04:00:00,83,0,87.62,48.83,20.74,E,0.77
TA00216,Makerere Synoptic,2018-09-28 05:00:00,82,0,87.67,218.53,22.11,E,0.79
TA00216,Makerere Synoptic,2018-09-28 06:00:00,72,0,87.7,441.77,26.1,S,0.76
TA00216,Makerere Synoptic,2018-09-28 07:00:00,64,0,87.7,563.17,28.16,S,1.12
TA00216,Makerere Synoptic,2018-09-28 08:00:00,62,0,87.67,350.1,28.17,SE,1.08
TA00216,Makerere Synoptic,2018-09-28 09:00:00,83,9.05,87.62,83.18,22.37,NW,0.91
TA00216,Makerere Synoptic,2018-09-28 10:00:00,96,0.02,87.55,258.85,20.96,W,0.87
TA00216,Makerere Synoptic,2018-09-28 11:00:00,87,0,87.47,482,23.4,W,1.05
TA00216,Makerere Synoptic,2018-09-28 12:00:00,74,0,87.43,435.52,25.6,S,0.85
TA00216,Makerere Synoptic,2018-09-28 13:00:00,69,0,87.4,290.5,26.16,S,0.78
TA00216,Makerere Synoptic,2018-09-28 14:00:00,67,0,87.37,142.03,26.01,S,0.71
TA00216,Makerere Synoptic,2018-09-28 15:00:00,72,0,87.36,22.12,24.31,SE,0.55
TA00216,Makerere Synoptic,2018-09-28 16:00:00,80,0,87.38,0,22.3,SE,0.36
TA00216,Makerere Synoptic,2018-09-28 17:00:00,84,0,87.41,0,21.33,NE,0.3
TA00216,Makerere Synoptic,2018-09-28 18:00:00,86,0,87.5,0,21.03,NE,0.33
TA00216,Makerere Synoptic,2018-09-28 19:00:00,89,0,87.53,0,20.66,E,0.42
TA00216,Makerere Synoptic,2018-09-28 20:00:00,88,0,87.57,0,20.95,E,0.91
TA00216,Makerere Synoptic,2018-09-28 21:00:00,89,0,87.56,0,20.82,SE,0.39
TA00216,Makerere Synoptic,2018-09-28 22:00:00,88,0,87.55,0,20.78,SE,0.35
TA00216,Makerere Synoptic,2018-09-28 23:00:00,89,0,87.54,0,20.3,NE,0.24
TA00216,Makerere Synoptic,2018-09-29 00:00:00,89,0,87.55,0,20.28,SE,0.62
TA00216,Makerere Synoptic,2018-09-29 01:00:00,88,0,87.57,0,20.22,E,0.93
TA00216,Makerere Synoptic,2018-09-29 02:00:00,92,0.19,87.64,0,20.09,NE,0.46
TA00216,Makerere Synoptic,2018-09-29 03:00:00,95,0.68,87.67,0.82,19.78,SE,0.53
TA00216,Makerere Synoptic,2018-09-29 04:00:00,96,0,87.74,35.75,19.7,E,0.73
TA00216,Makerere Synoptic,2018-09-29 05:00:00,93,0,87.88,92.43,19.83,SE,0.7
TA00216,Makerere Synoptic,2018-09-29 06:00:00,92,0.17,87.9,174.27,19.24,W,0.72
TA00216,Makerere Synoptic,2018-09-29 07:00:00,85,0,87.83,597.32,21.79,NE,0.91
TA00216,Makerere Synoptic,2018-09-29 08:00:00,64,0,87.8,775.98,25.68,S,0.89
TA00216,Makerere Synoptic,2018-09-29 09:00:00,66,0,87.77,733.53,25.95,N,0.98
TA00216,Makerere Synoptic,2018-09-29 10:00:00,66,0,87.69,737.5,26.23,NW,0.97
TA00216,Makerere Synoptic,2018-09-29 11:00:00,64,0,87.58,810.85,27.52,S,1.02
TA00216,Makerere Synoptic,2018-09-29 12:00:00,61,0,87.49,558.7,28.03,S,1.21
TA00216,Makerere Synoptic,2018-09-29 13:00:00,59,0,87.42,410.63,27.84,S,1.13
TA00216,Makerere Synoptic,2018-09-29 14:00:00,58,0,87.43,165.95,26.61,SE,0.93
TA00216,Makerere Synoptic,2018-09-29 15:00:00,60,0,87.5,33.03,24.79,SE,0.72
TA00216,Makerere Synoptic,2018-09-29 16:00:00,66,0,87.55,0,22.27,SE,0.64
TA00216,Makerere Synoptic,2018-09-29 17:00:00,74,0,87.59,0,21.03,E,0.53
TA00216,Makerere Synoptic,2018-09-29 18:00:00,80,0,87.65,0,19.95,NE,0.37
TA00216,Makerere Synoptic,2018-09-29 19:00:00,76,0,87.7,0,20.3,SE,0.5
TA00216,Makerere Synoptic,2018-09-29 20:00:00,76,0,87.71,0,19.98,SE,0.35
TA00216,Makerere Synoptic,2018-09-29 21:00:00,83,0,87.74,0,19.47,NE,0.36
TA00216,Makerere Synoptic,2018-09-29 22:00:00,85,0,87.71,0,19.25,NE,0.43
TA00216,Makerere Synoptic,2018-09-29 23:00:00,87,0,87.67,0,19.05,NE,0.74
TA00216,Makerere Synoptic,2018-09-30 00:00:00,88,0,87.64,0,18.61,NE,0.68
TA00216,Makerere Synoptic,2018-09-30 01:00:00,88,0,87.63,0,18.41,NE,0.71
TA00216,Makerere Synoptic,2018-09-30 02:00:00,90,0,87.64,0,18.38,E,0.71
TA00216,Makerere Synoptic,2018-09-30 03:00:00,92,0,87.68,2.85,18.08,E,0.67
TA00216,Makerere Synoptic,2018-09-30 04:00:00,94,0,87.74,68.57,18.42,SE,0.56
TA00216,Makerere Synoptic,2018-09-30 05:00:00,82,0,87.79,288.3,22.41,E,0.43
TA00216,Makerere Synoptic,2018-09-30 06:00:00,63,0,87.86,486.52,26.33,SE,0.7
TA00216,Makerere Synoptic,2018-09-30 07:00:00,58,0,87.89,542.42,27.41,SE,0.76
TA00216,Makerere Synoptic,2018-09-30 08:00:00,58,0,87.86,512.93,27.55,S,1.38
TA00216,Makerere Synoptic,2018-09-30 09:00:00,68,0,87.82,400.47,25.03,S,1.49
TA00216,Makerere Synoptic,2018-09-30 10:00:00,69,0,87.74,385.48,24.46,S,1.08
TA00216,Makerere Synoptic,2018-09-30 11:00:00,58,0,87.59,581.38,26.28,S,1.09
TA00216,Makerere Synoptic,2018-09-30 12:00:00,50,0,87.48,600.86,28.44,S,1.36
TA00216,Makerere Synoptic,2018-09-30 13:00:00,52,0,87.5,325.27,28.55,S,1.13
TA00216,Makerere Synoptic,2018-09-30 14:00:00,56,0,87.51,105.7,26.54,S,0.98
TA00216,Makerere Synoptic,2018-09-30 15:00:00,66,0,87.51,25.57,24.5,S,0.62
TA00216,Makerere Synoptic,2018-09-30 16:00:00,76,0,87.52,0,22.44,SW,0.2
TA00216,Makerere Synoptic,2018-09-30 17:00:00,81,0,87.57,0,21.37,NE,0.54
TA00216,Makerere Synoptic,2018-09-30 18:00:00,82,0,87.61,0,21.12,E,0.64
TA00216,Makerere Synoptic,2018-09-30 19:00:00,83,0,87.62,0,20.94,NE,1.06
TA00216,Makerere Synoptic,2018-09-30 20:00:00,83,0,87.62,0,20.61,E,0.9
TA00216,Makerere Synoptic,2018-09-30 21:00:00,83,0,87.61,0,20.67,E,0.7
TA00216,Makerere Synoptic,2018-09-30 22:00:00,84,0,87.58,0,20.25,SE,0.24
TA00216,Makerere Synoptic,2018-09-30 23:00:00,84,0,87.52,0,20.07,E,0.22
TA00216,Makerere Synoptic,2018-10-01 00:00:00,85,0,87.52,0,20.16,N,0.17
TA00216,Makerere Synoptic,2018-10-01 01:00:00,88,0,87.57,0,20.01,NE,0.59
TA00216,Makerere Synoptic,2018-10-01 02:00:00,89,0,87.66,0,19.78,E,0.46
TA00216,Makerere Synoptic,2018-10-01 03:00:00,90,0,87.69,1.98,19.55,S,0.44
TA00216,Makerere Synoptic,2018-10-01 04:00:00,90,0,87.71,43.73,19.76,E,0.46
TA00216,Makerere Synoptic,2018-10-01 05:00:00,88,0,87.8,73.17,20.72,SE,0.5
TA00216,Makerere Synoptic,2018-10-01 06:00:00,87,0,87.81,188.22,21.31,SW,0.55
TA00216,Makerere Synoptic,2018-10-01 07:00:00,79,0,87.81,388.25,23.17,SW,0.66
TA00216,Makerere Synoptic,2018-10-01 08:00:00,64,0,87.75,726.73,26.03,S,1.11
TA00216,Makerere Synoptic,2018-10-01 09:00:00,56,0,87.69,857.18,27.39,S,1.25
TA00216,Makerere Synoptic,2018-10-01 10:00:00,53,0,87.6,652.08,27.74,S,1.19
TA00216,Makerere Synoptic,2018-10-01 11:00:00,54,0,87.48,714.58,28.13,S,1.24
TA00216,Makerere Synoptic,2018-10-01 12:00:00,55,0,87.44,319.05,27.36,S,1.18
TA00216,Makerere Synoptic,2018-10-01 13:00:00,53,0,87.4,400.02,27.85,SE,1.16
TA00216,Makerere Synoptic,2018-10-01 14:00:00,53,0,87.41,166.12,27.65,SE,0.92
TA00216,Makerere Synoptic,2018-10-01 15:00:00,58,0,87.45,21.13,25,SE,0.81
TA00216,Makerere Synoptic,2018-10-01 16:00:00,70,0,87.52,0,22.93,SE,0.59
TA00216,Makerere Synoptic,2018-10-01 17:00:00,74,0,87.55,0,21.8,E,0.38
TA00216,Makerere Synoptic,2018-10-01 18:00:00,77,0,87.59,0,21.61,SE,0.41
TA00216,Makerere Synoptic,2018-10-01 19:00:00,76,0,87.59,0,21.78,SE,0.69
TA00216,Makerere Synoptic,2018-10-01 20:00:00,77,0,87.59,0,21.73,SE,0.66
TA00216,Makerere Synoptic,2018-10-01 21:00:00,77,0,87.56,0,21.57,SE,0.52
TA00216,Makerere Synoptic,2018-10-01 22:00:00,79,0,87.52,0,21.29,E,0.53
TA00216,Makerere Synoptic,2018-10-01 23:00:00,78,0,87.45,0,21.3,E,0.39
TA00216,Makerere Synoptic,2018-10-02 00:00:00,69,0,87.44,0,21.79,NW,0.37
TA00216,Makerere Synoptic,2018-10-02 01:00:00,68,0,87.47,0,21.71,E,0.63
TA00216,Makerere Synoptic,2018-10-02 02:00:00,71,0,87.51,0,21.12,E,0.47
TA00216,Makerere Synoptic,2018-10-02 03:00:00,72,0,87.59,1.25,21.03,E,0.87
TA00216,Makerere Synoptic,2018-10-02 04:00:00,82,0,87.67,42.27,20.62,E,0.88
TA00216,Makerere Synoptic,2018-10-02 05:00:00,79,0,87.79,63.32,21.15,E,0.41
TA00216,Makerere Synoptic,2018-10-02 06:00:00,75,0,87.86,150.1,22.28,E,0.7
TA00216,Makerere Synoptic,2018-10-02 07:00:00,70,0,87.87,355.73,24.19,NE,0.82
