site,name,day,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),min temperature (oC),max temperature (oC),predominant winddirection,average windspeed (m/s),min windspeed (m/s),max windspeed (m/s)
TA00216,Makerere Synoptic,2017-09-09,86.22,0,87.666,0,20.92,19.78,22.72,SE,0.59,0.29,1.19
TA00216,Makerere Synoptic,2017-09-10,78.17,0,87.715,3575.39,21.91,18.57,26.37,NE,0.6,0.31,1.41
TA00216,Makerere Synoptic,2017-09-11,75.27,1.77,87.657,4600.25,23.05,17.99,28.23,NE,0.69,0.44,1.27
TA00216,Makerere Synoptic,2017-09-13,90,0,87.73,0,20.46,20.46,20.46,E,0.91,0.91,0.91
TA00216,Makerere Synoptic,2017-09-24,78.17,0,87.78,4839.53,22.02,18.4,27.86,SE,0.88,0.3,1.63
TA00216,Makerere Synoptic,2017-09-25,80.21,7.88,87.627,4820.36,21.65,17.37,28.59,E,0.7,0.39,1.03
TA00216,Makerere Synoptic,2017-09-26,90.25,0,87.645,0,19.6,18.55,20.83,N,0.62,0.19,1.23
TA00216,Makerere Synoptic,2017-10-31,84.5,1.07,87.665,0,20.55,18.64,21.39,NE,0.95,0.71,1.24
TA00216,Makerere Synoptic,2017-11-01,73,1.67,87.624,4707.15,23.25,18.1,28.83,SE,0.69,0.32,1.38
TA00216,Makerere Synoptic,2017-11-02,74.96,0.02,87.61,4683.44,22.99,19.15,28.99,W,0.66,0.22,1.28
TA00216,Makerere Synoptic,2017-11-03,81.25,10.1,87.56,4773.7,22.08,16.57,27.73,W,0.77,0.18,1.31
TA00216,Makerere Synoptic,2017-11-04,82.88,0,87.708,3302.85,20.49,17.93,25.85,SE,1.14,0.72,2.1
TA00216,Makerere Synoptic,2017-11-05,80.63,0,87.734,3079.76,21.23,18.02,26.14,E,0.55,0.18,0.9
TA00216,Makerere Synoptic,2017-11-06,87.92,7.3,87.604,2781.42,20.95,17.94,25.71,E,0.57,0.2,1
TA00216,Makerere Synoptic,2017-11-07,92.29,66.84,87.723,2762.91,19.38,17.23,23.56,SE,1.65,0.15,22.84
TA00216,Makerere Synoptic,2017-11-08,85.42,3.36,87.687,3191.81,21.62,18.86,27.18,E,0.53,0.23,0.83
TA00216,Makerere Synoptic,2017-11-09,86.33,1,87.632,3439.81,21.52,18.52,27.06,E,0.53,0.2,0.93
TA00216,Makerere Synoptic,2017-11-10,85.25,12.08,87.558,3612.91,21.24,17.91,27.94,E,0.7,0.4,1.19
TA00216,Makerere Synoptic,2017-11-11,78.5,0,87.563,4988.47,22.97,18.15,28.05,NE,0.63,0.23,1.23
TA00216,Makerere Synoptic,2017-11-12,89.17,4.26,87.632,2888.44,21.12,18.44,25.58,E,0.55,0.2,1.04
TA00216,Makerere Synoptic,2017-11-13,85.38,6.98,87.574,4226.36,21.72,18.64,28.33,SE,0.55,0.18,0.88
TA00216,Makerere Synoptic,2017-11-14,88.71,32.26,87.565,3049.48,20.91,18.34,27,N,0.42,0,1.62
TA00216,Makerere Synoptic,2017-11-15,75.54,0.05,87.505,5064.27,23.26,18.14,28.54,SW,0.65,0,3.18
TA00216,Makerere Synoptic,2017-11-16,81.75,9.26,87.478,3873.78,22.2,18.26,27.95,S,0.61,0.29,1.12
TA00216,Makerere Synoptic,2017-11-17,77.04,1.64,87.52,4096.07,22.06,19,28.04,E,0.6,0.2,1.13
TA00216,Makerere Synoptic,2017-11-18,74.71,0,87.563,4927.37,22.61,18.52,28.22,NW,0.57,0.2,1.28
TA00216,Makerere Synoptic,2017-11-19,72.63,0.04,87.574,5279.71,23.58,18.32,28.82,S,0.71,0.23,1.28
TA00216,Makerere Synoptic,2017-11-20,71,0,87.651,4566.07,23.17,19.91,28.45,NE,0.73,0.35,1.39
TA00216,Makerere Synoptic,2017-11-21,60.54,0,87.555,5359.13,24.24,19.66,29.98,E,0.66,0.24,1.06
TA00216,Makerere Synoptic,2017-11-22,69.75,0,87.535,4130.73,23.58,19.83,29.28,NW,0.56,0.21,1.48
TA00216,Makerere Synoptic,2017-11-23,72.17,0,87.571,3628.69,22.93,20.21,27.51,E,0.78,0.37,1.22
TA00216,Makerere Synoptic,2017-11-24,93.92,26.9,87.737,1205.04,19.13,16.51,21.34,E,0.57,0.27,1.42
TA00216,Makerere Synoptic,2017-11-25,76.67,0.77,87.773,4122.03,22.63,18.76,28.09,NE,0.7,0.22,1.16
TA00216,Makerere Synoptic,2017-11-26,80.38,3.01,87.872,3721.45,21.57,17.83,26.98,NW,0.62,0.26,1.03
TA00216,Makerere Synoptic,2017-11-27,82.92,1.98,87.778,3635.92,22.12,18.87,26.9,SW,0.64,0.32,1.22
TA00216,Makerere Synoptic,2017-11-28,77.46,0.11,87.69,5622.47,23.11,18.43,28.87,NE,0.77,0.35,1.25
TA00216,Makerere Synoptic,2017-11-29,80.13,24.5,87.756,3927.77,22.05,17.32,28.94,E,0.68,0.31,0.99
TA00216,Makerere Synoptic,2017-11-30,80.25,2.55,87.759,3589.94,21.77,17.8,26.46,E,0.81,0.35,1.41
TA00216,Makerere Synoptic,2017-12-01,81.21,0.05,87.656,4460.95,22,18.26,27.07,SW,0.61,0.25,1.19
TA00216,Makerere Synoptic,2017-12-02,76.13,0.82,87.635,4100.75,22.57,17.76,28.19,NW,0.53,0.26,1.16
TA00216,Makerere Synoptic,2017-12-03,76.96,0,87.691,3999.69,22.66,19.2,28.77,NW,0.7,0.28,1.21
TA00216,Makerere Synoptic,2017-12-04,82.46,0,87.673,2855.72,22.3,18.98,27.84,NW,0.61,0.32,1.15
TA00216,Makerere Synoptic,2017-12-05,75.33,0.08,87.578,5203.02,23.23,18.03,28.66,SW,0.68,0.24,1.44
TA00216,Makerere Synoptic,2017-12-06,80,0.53,87.549,2411.81,22.33,19.35,27.14,NW,0.54,0.29,1.13
TA00216,Makerere Synoptic,2017-12-07,82.79,5.23,87.498,2946.75,22.4,19.73,26.78,NW,0.53,0.19,1
TA00216,Makerere Synoptic,2017-12-08,79.5,0,87.46,3535.43,23.24,19.56,28.01,W,0.51,0.23,0.95
TA00216,Makerere Synoptic,2017-12-09,87.63,4.37,87.491,2687.9,21.45,18.15,26.78,SW,0.6,0.25,1.12
TA00216,Makerere Synoptic,2017-12-10,78,0.15,87.561,4194.82,22.95,19.13,29.2,N,0.57,0.32,0.89
TA00216,Makerere Synoptic,2017-12-11,73.13,0.1,87.669,4254.06,22.64,18.27,28.78,S,0.68,0.27,1.23
TA00216,Makerere Synoptic,2017-12-12,75.71,0.15,87.678,5118.76,22.73,18.05,29.13,S,0.78,0.21,1.51
TA00216,Makerere Synoptic,2017-12-13,66.58,0.1,87.645,5425.89,23.54,18.01,30.03,S,0.92,0.4,1.86
TA00216,Makerere Synoptic,2017-12-14,71.13,0,87.633,3940.04,23.69,18.49,29.35,SW,0.59,0.27,1.1
TA00216,Makerere Synoptic,2017-12-15,69.38,0,87.616,3312.54,24.1,19.62,29.37,S,0.84,0.31,1.38
TA00216,Makerere Synoptic,2017-12-16,68.83,0,87.613,4209.28,23.85,19.71,29.23,S,0.75,0.27,1.75
TA00216,Makerere Synoptic,2017-12-17,75.96,0.15,87.594,4018.11,23.3,19.95,28.47,S,0.69,0.24,1.35
TA00216,Makerere Synoptic,2017-12-18,75.33,0,87.558,3302.82,23.05,18.82,28.57,S,0.66,0.35,1.17
TA00216,Makerere Synoptic,2017-12-19,70.75,0,87.563,4857.77,24.04,18.71,29.82,S,1.01,0.17,2.07
TA00216,Makerere Synoptic,2017-12-20,74.92,0.04,87.67,4974.24,23.82,20.09,29.84,S,0.94,0.29,1.97
TA00216,Makerere Synoptic,2017-12-21,71.5,0.09,87.678,4655.03,23.23,18.76,29.18,S,0.9,0.33,1.83
TA00216,Makerere Synoptic,2017-12-22,70.04,0.03,87.589,4909.77,23.71,18.6,30.42,S,0.9,0.17,1.83
TA00216,Makerere Synoptic,2017-12-23,62.33,0,87.526,4543.12,24.41,18.59,30.8,S,0.97,0.23,1.76
TA00216,Makerere Synoptic,2017-12-24,56.04,0,87.492,4719.5,24.7,19.31,32.24,SE,1.38,0.41,2.15
TA00216,Makerere Synoptic,2017-12-25,61.21,0,87.598,4441.08,24.27,20.17,30.13,S,1.03,0.3,2.06
TA00216,Makerere Synoptic,2017-12-26,72.67,0,87.537,5055.94,23.94,19.44,29.71,S,1.01,0.32,2.02
TA00216,Makerere Synoptic,2017-12-27,69.58,0,87.449,4832.5,23.97,18.13,31.15,S,1.17,0.23,2.77
TA00216,Makerere Synoptic,2017-12-28,65.75,0.05,87.496,4392.59,24.49,18.95,31.6,SE,1.04,0.22,2.42
TA00216,Makerere Synoptic,2017-12-29,67.38,0,87.614,4151.41,24.15,19.02,31.1,SE,1.23,0.26,2.71
TA00216,Makerere Synoptic,2017-12-30,83.46,5.79,87.653,1843.19,21.77,19.03,25.86,NW,0.52,0.24,1
TA00216,Makerere Synoptic,2017-12-31,91.96,10.01,87.685,1119.67,19.9,16.37,24.96,NE,0.58,0.28,1.14
TA00216,Makerere Synoptic,2018-01-01,81.17,0,87.631,2829.12,21.65,18.37,27.54,SE,0.77,0.2,2.35
TA00216,Makerere Synoptic,2018-01-02,81.71,0.06,87.59,3262.32,21.82,19.01,26.65,SW,0.6,0.29,1.28
TA00216,Makerere Synoptic,2018-01-03,62.67,0.06,87.596,4191.76,23.04,18.19,29.77,SE,1.48,0.24,2.72
TA00216,Makerere Synoptic,2018-01-04,71.96,0.02,87.713,3715.14,22.24,19.02,27.97,SE,0.99,0.27,2.72
TA00216,Makerere Synoptic,2018-01-05,60.33,0.08,87.563,4203.79,23.28,18.88,28.92,SE,1.1,0.22,2.03
TA00216,Makerere Synoptic,2018-01-06,49.38,0,87.578,4063.62,22.86,18.45,28.74,SE,1.35,0.74,2.4
TA00216,Makerere Synoptic,2018-01-07,48.04,0,87.61,4169.88,22.85,17.18,29.42,SE,1.55,0.67,2.75
TA00216,Makerere Synoptic,2018-01-08,42.29,0,87.653,4798.52,23.7,18.25,30.81,SE,1.69,0.74,2.97
TA00216,Makerere Synoptic,2018-01-09,52.08,0,87.699,4710.61,23.53,18.24,32.04,SE,1.62,0.32,3.17
TA00216,Makerere Synoptic,2018-01-10,52.04,0.07,87.621,4064.56,24.46,17.75,31.59,SE,1.18,0.3,2.15
TA00216,Makerere Synoptic,2018-01-11,59.33,0,87.603,3672.02,24.48,20.51,29.92,S,1.29,0.32,2.81
TA00216,Makerere Synoptic,2018-01-12,83.96,20.53,87.637,1804.81,20.85,17.11,27.04,NW,0.7,0,3.1
TA00216,Makerere Synoptic,2018-01-13,80.67,0.02,87.606,3120.51,22.38,18.1,27.07,SW,0.67,0.38,1.16
TA00216,Makerere Synoptic,2018-01-14,74.42,0.77,87.602,4307.81,22.78,19.4,28.15,SW,0.61,0.31,1.34
TA00216,Makerere Synoptic,2018-01-15,72.79,0,87.654,4218.56,23.74,19.6,30.87,SE,1.09,0.23,2.96
TA00216,Makerere Synoptic,2018-01-16,77.79,0.14,87.605,3986.33,23.33,19.17,29.01,S,0.63,0.17,1.33
TA00216,Makerere Synoptic,2018-01-17,58.38,0,87.475,5122.16,24.03,18.7,31.8,NE,0.75,0.21,1.25
TA00216,Makerere Synoptic,2018-01-18,76.88,0.13,87.525,3739.29,23.37,19.41,29.17,SW,0.65,0.28,1.15
TA00216,Makerere Synoptic,2018-01-19,72.13,0.12,87.514,4324.3,24.27,19.2,31.08,SE,0.72,0.26,1.29
TA00216,Makerere Synoptic,2018-01-20,71.67,0,87.638,2433.21,22.74,19.58,28.33,SW,0.61,0.24,1.11
TA00216,Makerere Synoptic,2018-01-21,70.63,0,87.617,4919.34,23.03,19.43,28.89,W,0.88,0.31,1.69
TA00216,Makerere Synoptic,2018-01-22,66.46,0.06,87.473,4437.5,24.16,18.36,30.06,S,0.77,0.32,1.36
TA00216,Makerere Synoptic,2018-01-23,71.71,0,87.448,3471.57,23.03,19.44,28.21,S,0.81,0.31,1.67
TA00216,Makerere Synoptic,2018-01-24,88.63,4.96,87.544,1640.06,19.65,16.98,26.55,W,0.54,0.24,1.05
TA00216,Makerere Synoptic,2018-01-25,84.79,0.02,87.616,1552.61,19.29,17.53,22.25,W,0.51,0.19,0.99
TA00216,Makerere Synoptic,2018-01-26,83.42,0.73,87.599,2012.86,20.85,17.76,24.91,SW,0.56,0.24,0.74
TA00216,Makerere Synoptic,2018-01-27,75,0.16,87.541,3883.04,23.01,18.89,29.85,SE,0.67,0.38,1.17
TA00216,Makerere Synoptic,2018-01-28,79.96,0.06,87.507,3750.27,22.57,18.63,27.63,SW,0.66,0.29,1.69
TA00216,Makerere Synoptic,2018-01-29,78.29,0.25,87.525,3357.97,23.14,18.45,29.23,SW,0.63,0.35,1.15
TA00216,Makerere Synoptic,2018-01-30,66.38,0.12,87.534,4469.12,24.16,19.05,31.73,E,0.68,0.27,1.19
TA00216,Makerere Synoptic,2018-01-31,63.58,0.08,87.528,4984.53,24.22,18.8,32.68,SW,1.08,0.39,2.52
TA00216,Makerere Synoptic,2018-02-01,66.71,0.1,87.448,4380.57,24.02,18.9,30.56,W,0.72,0.29,1.55
TA00216,Makerere Synoptic,2018-02-02,73.21,0.04,87.45,3705.59,23.97,18.95,30.11,SW,0.75,0.37,1.38
TA00216,Makerere Synoptic,2018-02-03,66.54,0.04,87.481,5132.9,24.87,19.28,31.44,SW,0.81,0.42,1.49
TA00216,Makerere Synoptic,2018-02-04,65.17,0.05,87.437,4977.85,24.85,18.82,31.94,S,1.14,0.39,2.8
TA00216,Makerere Synoptic,2018-02-05,57.42,0,87.373,4577.99,25.79,20.77,31.76,W,0.84,0.44,1.77
TA00216,Makerere Synoptic,2018-02-06,59.46,0,87.405,3343.79,25.05,20.29,31.18,S,0.99,0.32,2.21
TA00216,Makerere Synoptic,2018-02-07,76.04,0.07,87.398,3683.76,24.06,20.07,30.65,N,0.89,0.31,1.8
TA00216,Makerere Synoptic,2018-02-08,74.46,0.1,87.401,4288.39,24.65,20,30.32,SW,0.75,0.27,1.38
TA00216,Makerere Synoptic,2018-02-09,75.67,0.07,87.408,1576.59,22.29,19.75,26.04,SW,0.55,0.33,0.91
TA00216,Makerere Synoptic,2018-02-10,75.38,0.12,87.35,3824.68,24.21,19.29,30.46,SW,0.66,0.31,1.23
TA00216,Makerere Synoptic,2018-02-11,68,0.02,87.498,4553.84,24.51,19.28,31.22,S,0.8,0.34,1.82
TA00216,Makerere Synoptic,2018-02-12,76.67,0.68,87.638,3509.53,23.5,19.69,29.1,SW,0.69,0.36,1.51
TA00216,Makerere Synoptic,2018-02-13,69.25,0,87.624,4829.82,24.7,20.49,30.94,S,0.81,0.32,1.54
TA00216,Makerere Synoptic,2018-02-14,69.63,0.02,87.572,3715.19,24.88,19.95,31.01,W,0.75,0.3,1.43
TA00216,Makerere Synoptic,2018-02-15,67.25,0,87.523,5386.66,25.3,20.31,32.22,S,0.9,0.34,1.9
TA00216,Makerere Synoptic,2018-02-16,62.75,0,87.52,5139.5,25.52,19.66,32.45,S,0.91,0.34,1.96
TA00216,Makerere Synoptic,2018-02-17,55.88,0,87.437,4915.15,26.28,21.17,32.95,S,1.17,0.26,2.47
TA00216,Makerere Synoptic,2018-02-18,62.13,1.77,87.406,3545.44,25.27,20.44,31.94,S,1.19,0.45,2.57
TA00216,Makerere Synoptic,2018-02-19,78.96,27.45,87.512,3050.26,22.12,17.29,28.46,SW,1.77,0,16.74
TA00216,Makerere Synoptic,2018-02-20,78.63,0.07,87.454,3438.21,22.7,18.69,29.42,E,0.89,0.38,1.55
TA00216,Makerere Synoptic,2018-02-21,81.21,1.23,87.459,2705.65,21.37,18.79,27.05,NW,0.56,0.29,0.99
TA00216,Makerere Synoptic,2018-02-22,74.5,0,87.313,3785.42,23.6,19.26,28.58,SW,0.67,0.25,1.35
TA00216,Makerere Synoptic,2018-02-23,73.83,1.2,87.339,4499.87,24.04,19.54,29.99,W,0.81,0.4,1.49
TA00216,Makerere Synoptic,2018-02-24,79.29,0,87.517,3559.51,22.66,19,27.31,SW,0.73,0.32,1.41
TA00216,Makerere Synoptic,2018-02-25,73.63,0,87.556,3983.18,23.7,18.98,29.69,SW,0.69,0.35,1.2
TA00216,Makerere Synoptic,2018-02-26,77.04,9.9,87.529,3783.19,22.42,17.81,29.49,NE,0.63,0,1.69
TA00216,Makerere Synoptic,2018-02-27,79.13,10.67,87.578,3805.53,22.08,18.38,27.48,NW,0.71,0.28,1.22
TA00216,Makerere Synoptic,2018-02-28,78.25,0,87.604,3128.3,22.62,19.32,27.11,E,0.77,0.32,1.46
TA00216,Makerere Synoptic,2018-03-01,85.25,69.87,87.628,3223.45,20.63,17.17,27.46,N,0.44,0,1.63
TA00216,Makerere Synoptic,2018-03-02,90.79,0.11,87.68,1751.82,19.3,17.22,20.9,E,1.09,0,11.99
TA00216,Makerere Synoptic,2018-03-03,83.96,14.76,87.557,2776.52,20.83,17.15,27.06,N,0.79,0.4,1.91
TA00216,Makerere Synoptic,2018-03-04,97.58,35.03,87.665,890.02,18.53,16.79,20.11,N,12.4,0,33.3
TA00216,Makerere Synoptic,2018-03-05,84.29,0.04,87.63,2959.9,21.89,17.77,28.06,W,0.68,0,1.43
TA00216,Makerere Synoptic,2018-03-06,91.04,3.36,87.779,1667.21,20.04,18.7,22.53,S,0.68,0.28,1.67
TA00216,Makerere Synoptic,2018-03-07,77.08,0.15,87.758,5019.44,22.61,18.26,28.81,W,0.83,0.37,1.37
TA00216,Makerere Synoptic,2018-03-08,76.04,1.33,87.632,5550.29,23.34,19.29,28.82,SW,0.87,0.56,1.39
TA00216,Makerere Synoptic,2018-03-09,76.38,0,87.528,3700.4,24.09,20.7,29.59,SW,0.79,0.43,1.34
TA00216,Makerere Synoptic,2018-03-10,78.29,0.86,87.578,3456.09,22.73,19.79,26.89,SW,0.85,0.35,1.41
TA00216,Makerere Synoptic,2018-03-11,76.83,0,87.668,4094.07,22.47,18.16,28.98,N,0.77,0.37,1.17
TA00216,Makerere Synoptic,2018-03-12,82.75,2.36,87.778,1877.02,21.48,18.47,26.81,NW,0.61,0.28,0.99
TA00216,Makerere Synoptic,2018-03-13,84.42,0,87.767,2080.23,21.74,19.13,26.48,SW,0.58,0.27,0.99
TA00216,Makerere Synoptic,2018-03-14,86.42,5.47,87.578,2669.74,22.19,19.42,27.98,W,0.74,0.38,1.76
TA00216,Makerere Synoptic,2018-03-15,96.21,24.82,87.726,804.91,19.15,18.35,20.3,NE,0.69,0.2,1.38
