TimeStamp,PM2.5(Ug/m3)
2018-06-01,53.13
2018-06-04,46.33
2018-06-05,45.08
2018-06-06,55.29
2018-06-07,80.88
2018-06-08,41.62
2018-06-09,53.29
2018-06-10,60.21
2018-06-11,52.38
2018-06-12,50.5
2018-06-13,56.79
2018-06-14,47.08
2018-06-15,54.29
2018-06-16,44.58
2018-06-17,59.43
2018-06-18,58.33
2018-06-19,38.5
2018-06-21,26.23
2018-06-22,24.49
2018-06-23,25.41
2018-06-24,25.69
2018-06-25,40.13
2018-06-26,48.77
2018-06-27,59.0
2018-06-28,67.38
2018-06-29,75.83
2018-06-30,62.79
2018-07-01,79.17
2018-07-02,59.21
2018-07-03,70.33
2018-07-05,40.0
2018-07-06,36.79
2018-07-07,50.5
2018-07-08,53.33
2018-07-09,53.08
2018-07-10,62.92
2018-07-11,65.46
2018-07-12,67.46
2018-07-13,62.42
2018-07-14,87.38
2018-07-15,83.62
2018-07-16,75.17
2018-07-17,52.75
2018-07-18,40.91
2018-07-19,44.65
2018-07-20,63.68
2018-07-21,76.87
2018-07-22,54.52
2018-07-23,53.92
2018-07-24,54.96
2018-07-25,53.04
2018-07-26,67.0
2018-07-27,49.21
2018-07-28,42.67
2018-07-29,69.04
2018-07-30,81.67
2018-07-31,95.58
2018-08-01,67.62
2018-08-02,82.71
2018-08-03,73.5
2018-08-04,68.83
2018-08-05,69.62
2018-08-06,67.58
2018-08-07,61.58
2018-08-08,83.0
2018-08-09,84.42
2018-08-10,90.79
2018-08-11,79.96
2018-08-12,50.04
2018-08-13,71.5
2018-08-14,88.79
2018-08-15,78.25
2018-08-16,77.58
2018-08-17,68.29
2018-08-18,82.96
2018-08-19,58.62
2018-08-20,66.71
2018-08-21,64.58
2018-08-22,49.13
2018-08-23,64.58
2018-08-24,54.25
2018-08-25,60.29
2018-08-26,71.79
2018-08-27,45.5
2018-08-28,76.29
2018-08-29,48.39
2018-08-30,34.5
2018-08-31,65.88
2018-09-01,71.79
2018-09-02,48.92
2018-09-03,58.46
2018-09-04,60.21
2018-09-05,62.42
2018-09-06,69.38
2018-09-07,60.29
2018-09-08,112.78
2018-09-09,107.0
2018-09-10,87.92
2018-09-11,77.46
2018-09-12,61.71
2018-09-13,67.22
2018-09-14,58.0
2018-09-15,67.75
2018-09-16,65.5
2018-09-17,49.83
2018-09-18,66.88
2018-09-19,56.33
2018-09-20,44.38
2018-09-21,55.54
2018-09-22,64.71
2018-09-23,59.5
2018-09-24,56.25
2018-09-25,60.92
2018-09-26,62.25
2018-09-27,79.96
2018-09-28,59.33
2018-09-29,41.38
2018-09-30,47.79
2018-10-01,119.0
