date,PM2.5
16/05/2018,37.46
17/05/2018,29.38
18/05/2018,42.38
19/05/2018,35
20/05/2018,40.12
21/05/2018,31.33
22/05/2018,35.5
23/05/2018,47.5
24/05/2018,54.67
25/05/2018,59.67
26/05/2018,56
27/05/2018,49.67
28/05/2018,45.75
29/05/2018,37.04
30/05/2018,61.88
31/05/2018,51.71
01/06/2018,53.13
04/06/2018,46.33
05/06/2018,45.08
06/06/2018,55.29
07/06/2018,80.88
08/06/2018,41.62
09/06/2018,53.29
10/06/2018,60.21
11/06/2018,52.38
12/06/2018,50.5
13/06/2018,56.79
14/06/2018,47.08
15/06/2018,54.29
16/06/2018,44.58
17/06/2018,59.43
18/06/2018,58.33
19/06/2018,38.5
21/06/2018,26.23
22/06/2018,24.49
23/06/2018,25.41
24/06/2018,25.69
25/06/2018,40.13
26/06/2018,48.77
27/06/2018,59
28/06/2018,67.38
29/06/2018,75.83
30/06/2018,62.79
01/07/2018,79.17
02/07/2018,59.21
03/07/2018,70.33
05/07/2018,40
06/07/2018,36.79
07/07/2018,50.5
08/07/2018,53.33
09/07/2018,53.08
10/07/2018,62.92
11/07/2018,65.46
12/07/2018,67.46
13/07/2018,62.42
14/07/2018,87.38
15/07/2018,83.62
16/07/2018,75.17
17/07/2018,52.75
18/07/2018,40.91
19/07/2018,44.65
20/07/2018,63.68
21/07/2018,76.87
22/07/2018,54.52
23/07/2018,53.92
24/07/2018,54.96
25/07/2018,53.04
26/07/2018,67
27/07/2018,49.21
28/07/2018,42.67
29/07/2018,69.04
30/07/2018,81.67
31/07/2018,95.58
01/08/2018,67.62
02/08/2018,82.71
03/08/2018,73.5
04/08/2018,68.83
05/08/2018,69.62
06/08/2018,67.58
07/08/2018,61.58
08/08/2018,83
09/08/2018,84.42
10/08/2018,90.79
11/08/2018,79.96
12/08/2018,50.04
13/08/2018,71.5
14/08/2018,88.79
15/08/2018,78.25
16/08/2018,77.58
17/08/2018,68.29
18/08/2018,82.96
19/08/2018,58.62
20/08/2018,66.71
21/08/2018,64.58
22/08/2018,49.13
23/08/2018,64.58
24/08/2018,54.25
25/08/2018,60.29
26/08/2018,71.79
27/08/2018,45.5
28/08/2018,76.29
29/08/2018,48.39
30/08/2018,34.5
31/08/2018,65.88
01/09/2018,71.79
02/09/2018,48.92
03/09/2018,58.46
04/09/2018,60.21
05/09/2018,62.42
06/09/2018,69.38
07/09/2018,60.29
08/09/2018,112.78
09/09/2018,107
10/09/2018,87.92
11/09/2018,77.46
12/09/2018,61.71
13/09/2018,67.22
14/09/2018,58
15/09/2018,67.75
16/09/2018,65.5
17/09/2018,49.83
18/09/2018,66.88
19/09/2018,56.33
20/09/2018,44.38
21/09/2018,55.54
22/09/2018,64.71
23/09/2018,59.5
24/09/2018,56.25
25/09/2018,60.92
26/09/2018,62.25
27/09/2018,79.96
28/09/2018,59.33
29/09/2018,41.38
30/09/2018,47.79
01/10/2018,119
